,precision,recall,f1,support
1,0.524390243902439,0.24022346368715083,0.3295019157088122,179.0
2,0.9087575496117343,0.9007911054094505,0.9047567915816601,4677.0
3,0.49693251533742333,0.4879518072289157,0.49240121580547114,166.0
4,0.4668769716088328,0.37659033078880405,0.41690140845070417,393.0
5,0.7509864094695309,0.8599397590361446,0.8017786098759654,1992.0
6,0.5492753623188406,0.5242047026279392,0.5364472753007785,723.0
7,0.796875,0.8095238095238095,0.8031496062992126,126.0
8,0.43103448275862066,0.390625,0.40983606557377045,64.0
9,0.5111111111111111,0.2875,0.368,80.0
avg,0.6040266273465036,0.5419277753669127,0.5625303209551527,8400.0
